INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
B228;PALMA-PUERTO;BALEARES;PALMA;3;393319;0237311;983421;4393545;ETRS89;08301;01/01/1978;
B278;PALMA DE MALLORCA/SON SAN JUAN;BALEARES;PALMA;8;393339;0244121;992960;4394769;ETRS89;08306;01/01/1951;
B434X;PORTO COLOM;BALEARES;FELANITX;17;392452;0316181;1040104;4381587;ETRS89;08309;01/01/1993;
B691Y;SA POBLA SA CANOVA;BALEARES;SA POBLA;40;394457;0301001;1015630;4417271;ETRS89;08312;01/04/2011;
B893;MENORCA/AEROPUERTO;BALEARES;MA”-MAH”N;91;395117;0412561;1117516;4436634;ETRS89;08314;01/01/1965;
B954;IBIZA/ES CODOL¡;BALEARES;SANT JOSEP DE SA TALAIA;6;385235;0123041;880396;4312208;ETRS89;08373;01/01/1944;
0016A;REUS/AEROPUERTO;TARRAGONA;REUS;71;410842;0109491;849439;4563219;ETRS89;08175;01/02/1945;
0016B;REUS (CENTRE LECTURA);TARRAGONA;REUS;118;410915;0106321;844798;4564018;ETRS89;;01/03/1934;
0076;BARCELONA/AEROPUERTO;BARCELONA;EL PRAT DE LLOBREGAT;4;411734;0204121;924575;4583678;ETRS89;08181;01/03/1924;
0149D;MANRESA (LA CULLA);BARCELONA;MANRESA;291;414312;0150251;902669;4630027;ETRS89;;01/03/1985;
0149X;MANRESA;BARCELONA;MANRESA;291;414312;0150251;902669;4630027;ETRS89;08174;01/01/2005;
0158O;MONTSERRAT;BARCELONA;MONISTROL DE MONTSERRAT;738;413540;0150211;903361;4616076;ETRS89;;01/09/1915;
0200E;BARCELONA (FABRA);BARCELONA;BARCELONA;408;412506;0207271;928286;4597891;ETRS89;;01/09/1913;
0367;GIRONA/COSTA BRAVA;GIRONA;VILOBÕ D'ONYAR;143;415442;0245481;978053;4656065;ETRS89;08184;01/01/1973;
0421E;ESPOLLA 'LES ALBERES';GIRONA;ESPOLLA;100;422324;0300221;994447;4710591;ETRS89;;01/02/1929;
1014;HONDARRIBIA-MALKARROA;GIPUZKOA;HONDARRIBIA;4;432125;0147322;597873;4801163;ETRS89;08029;01/08/1955;
1014A;DONOSTIA / SAN SEBASTI¡N AEROPUERTO;GIPUZKOA;HONDARRIBIA;4;432125;0147322;597873;4801163;ETRS89;08029;01/01/2004;
1024E;DONOSTIA / SAN SEBASTI¡N, IGELDO;GIPUZKOA;DONOSTIA/SAN SEBASTI¡N;250;431823;0202282;577768;4795286;ETRS89;08027;01/06/1911;
1082;BILBAO AEROPUERTO;BIZKAIA;LOIU;42;431753;0254232;507593;4793919;ETRS89;08025;01/01/1947;
1109;SANTANDER/PARAYAS;CANTABRIA;CAMARGO;3;432526;0349322;433175;4808220;ETRS89;08021;01/09/1953;
1109X;SANTANDER AEROPUERTO;CANTABRIA;CAMARGO;3;432543;0349532;432708;4808749;ETRS89;08021;01/03/2006;
1111;SANTANDER I,CMT;CANTABRIA;SANTANDER;52;432928;0348022;435270;4815666;ETRS89;08023;01/06/1946;
1111X;SANTANDER,CMT;CANTABRIA;SANTANDER;51;432928;0348022;435270;4815666;ETRS89;08023;01/03/2012;
1183X;LLANES;ASTURIAS;LLANES;10;432513;0444532;358493;4808972;ETRS89;08016;01/04/1997;
1207U;GIJ”N-CAMPUS;ASTURIAS;GIJ”N;26;433123;0537162;288175;4822241;ETRS89;08065;01/03/1975;
1212E;ASTURIAS/AVIL…S;ASTURIAS;CASTRILL”N;127;433401;0602392;254162;4828281;ETRS89;08011;01/08/1968;
1249I;OVIEDO;ASTURIAS;OVIEDO;336;432112;0552272;267072;4804067;ETRS89;08015;01/01/1972;28/02/2023
1249X;OVIEDO;ASTURIAS;OVIEDO;334;432112;0552272;267072;4804067;ETRS89;08015;01/10/1975;
1283U;CABO BUSTO;ASTURIAS;VALD…S;60;433409;0628122;219782;4829877;ETRS89;08010;01/04/1997;
1351;ESTACA DE BARES;A CORU—A;MA—”N;90;434710;0741062;123019;4858799;ETRS89;08004;01/01/1961;
1387;A CORU—A;A CORU—A;A CORU—A;57;432157;0825172;60704;4815740;ETRS89;08001;01/10/1930;
