INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD; Año ;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
Insolación total mensual (décimas de hora);;;;;;;;;;;;;;;;;;;;;
B228;PALMA-PUERTO;3;983421;4393545;BALEARES;0237311;393319;2022;1887;1922;860;2169;3125;3229;3692;3274;2299;2142;1703;1473;2315
B278;PALMA DE MALLORCA/SON SAN JUAN;8;992960;4394769;BALEARES;0244121;393339;2022;1890;2015;899;2191;3003;3194;3707;3312;2286;2270;1657;1402;2319
B434X;PORTO COLOM;17;1040104;4381587;BALEARES;0316181;392452;2022;1888;2183;1116;2440;3040;3320;3866;3319;2454;2443;1842;1793;2475
B691Y;SA POBLA SA CANOVA;40;1015630;4417271;BALEARES;0301001;394457;2022;1799;2106;997;2307;3055;3317;3676;3176;2306;2400;1398;1488;2335
B893;MENORCA/AEROPUERTO;91;1117516;4436634;BALEARES;0412561;395117;2022;1979;2085;1050;2395;3192;3256;3944;3355;2071;2214;1551;1811;2409
B954;IBIZA/ES CODOLÁ;6;880396;4312208;BALEARES;0123041;385235;2022;1903;1989;788;2142;3245;3348;3651;3212;2330;2025;1720;1376;2311
0016A;REUS/AEROPUERTO;71;849439;4563219;TARRAGONA;0109491;410842;2022;2516;1948;877;1880;2665;3206;3418;3129;1968;1785;1673;1443;2209
0016B;REUS (CENTRE LECTURA);118;844798;4564018;TARRAGONA;0106321;410915;2022;2534;1951;812;2188;3046;3120;3366;3094;1784;1670;1662;1449;2223
0076;BARCELONA/AEROPUERTO;4;924575;4583678;BARCELONA;0204121;411734;2022;1440;1582;827;1936;2867;2980;3192;3015;2062;1857;1149;947;1988
0149D;MANRESA (LA CULLA);291;902669;4630027;BARCELONA;0150251;414312;2022;;1386;598;;1914;2197;;;1784;;1094;;
0149X;MANRESA;291;902669;4630027;BARCELONA;0150251;414312;2022;;;800;2286;3019;3279;3556;2737;2276;1959;1734;1354;
0158O;MONTSERRAT;738;903361;4616076;BARCELONA;0150211;413540;2022;1842;1445;459;1745;2394;2644;;2496;1565;;1459;1180;
0200E;BARCELONA (FABRA);408;928286;4597891;BARCELONA;0207271;412506;2022;2473;1960;812;2236;3178;3321;3395;3151;2136;1969;1774;1673;2340
0367;GIRONA/COSTA BRAVA;143;978053;4656065;GIRONA;0245481;415442;2022;2325;2055;883;2274;2984;3303;3514;2899;2414;2161;1504;1662;2332
0421E;ESPOLLA 'LES ALBERES';100;994447;4710591;GIRONA;0300221;422324;2022;2251;2037;1100;2336;3104;;;;2296;1837;1509;1526;
1014;HONDARRIBIA-MALKARROA;4;597873;4801163;GIPUZKOA;0147322;432125;2022;1226;1194;1023;1486;1956;1736;2773;2164;1737;1272;831;731;1511
1014A;DONOSTIA / SAN SEBASTIÁN AEROPUERTO;4;597873;4801163;GIPUZKOA;0147322;432125;2022;1226;1194;1023;1486;1956;1731;2768;2164;1737;1272;830;731;1510
1024E;DONOSTIA / SAN SEBASTIÁN, IGELDO;250;577768;4795286;GIPUZKOA;0202282;431823;2022;1480;1295;1056;1488;2019;1870;2693;2100;1923;1266;1072;909;1598
1082;BILBAO AEROPUERTO;42;507593;4793919;BIZKAIA;0254232;431753;2022;1489;1174;960;1409;1953;1642;2857;2151;1655;1280;910;631;1509
1109;SANTANDER/PARAYAS;3;433175;4808220;CANTABRIA;0349322;432526;2022;1444;1474;1186;1785;2106;1768;2816;2137;1847;1269;1083;715;1636
1109X;SANTANDER AEROPUERTO;3;432708;4808749;CANTABRIA;0349532;432543;2022;1535;1311;1077;1680;1885;1584;2646;1860;1627;1178;1072;773;1519
1111;SANTANDER I,CMT;52;435270;4815666;CANTABRIA;0348022;432928;2022;1517;1460;1336;1785;2245;2007;2977;2136;1889;1294;1154;800;1717
1111X;SANTANDER,CMT;51;435270;4815666;CANTABRIA;0348022;432928;2022;1539;1601;1560;1877;2430;2124;3139;2248;2039;1427;1254;835;1839
1183X;LLANES;10;358493;4808972;ASTURIAS;0444532;432513;2022;983;1241;1402;1612;1852;1345;2276;1382;1790;1189;833;523;1369
1207U;GIJÓN-CAMPUS;26;288175;4822241;ASTURIAS;0537162;433123;2022;1551;1696;1439;2073;1964;1801;2665;1748;1954;1439;1261;893;1707
1212E;ASTURIAS/AVILÉS;127;254162;4828281;ASTURIAS;0602392;433401;2022;1533;1598;1264;1952;1804;1646;2312;1614;1945;1396;1210;882;1596
1249I;OVIEDO;336;267072;4804067;ASTURIAS;0552272;432112;2022;1643;1578;1177;1814;1755;1358;2390;1617;1909;1469;1360;947;1585
